feature_a,feature_b,feature_c,target_value
66.24345363663241,13.467329635779908,low,275.8674172840821
43.882435863499246,20.38190240079796,med,194.7858524376937
44.71828247736544,21.836159069419324,low,183.1622614253547
39.27031377843829,26.164495961881187,med,164.70949344249988
58.65407629324679,17.885715193046124,high,239.7286369009402
26.984613031197174,20.432322032621435,low,138.89981870106448
67.4481176421648,9.287666354613158,high,279.9907063917583
42.387930991048975,15.849155679886461,high,204.72267108624158
53.19039096057099,22.258079752776208,low,216.10049675903815
47.5062962452259,25.520871631516066,med,199.25222544431102
64.62107937044973,18.591318654671937,low,253.8348575344455
29.39859290502346,30.281777615991466,med,122.3232396765332
46.77582795986493,28.801246132245467,low,183.38623050970278
46.15945645331584,19.69673754112595,low,196.26871125710832
61.33769442335438,7.9324849941310625,low,280.0988430934686
39.00108732685969,11.112168120970063,low,196.00603998458456
48.275717924495645,16.110705866862936,low,218.36873771481407
41.221415820786284,25.579205539620844,low,171.38465752249965
50.42213746715593,21.551361438918835,low,206.53338299482942
55.82815213715822,9.52876091888594,high,248.2723774856821
38.99380822787079,18.85617085564919,med,181.04766928019407
61.447237098396144,28.066806872815576,med,232.45603177503136
59.01590720592796,18.125976563486738,high,240.184998415252
55.02494338901868,16.250151913621668,high,229.17026846972612
59.00855949264412,30.27312051259058,high,211.14005457031843
43.16272140825667,20.26704768399174,med,188.57067204325784
48.77109774481352,17.6042145060696,high,213.96967785208514
40.64230565740931,21.750835794141395,high,180.71498076549386
47.32111920373984,20.085823631870444,med,201.70262260220895
55.30355466738186,17.854288608824533,med,227.20139278831846
43.08339248274691,26.042281642759814,low,177.89944047965554
46.03246473144023,25.57850901392243,med,189.7994005608008
43.12827299880401,24.20430779070552,high,180.79211513241586
41.5479435850128,19.485563912132314,med,186.23454537473486
43.28753869163181,25.734501881997414,med,177.64109068264833
49.873354010810985,19.75148710420662,low,214.69458416433258
38.82689651364722,22.333216336144204,low,169.6232555319599
52.34415697817092,25.168434339697505,low,207.6232803599505
66.5980217710987,24.044221801328412,med,253.67776186069983
57.420441605773355,28.948773416031358,high,217.99139077652512
48.08164447638385,22.256420080200854,high,207.21151709817224
41.12371035915164,11.579700070658813,low,203.58899998215833
42.52841706249163,14.19914947508862,high,202.18301841459393
66.92454601027747,26.750534093408632,med,239.92138439890857
50.50807754776029,18.34358415033686,low,217.86908406412635
43.630043534306466,21.932695725665454,low,198.49332721337436
51.90915484667466,15.742721717345866,med,220.09196617749387
71.00255136478842,25.004407118401506,med,257.9012406105337
51.20158952481629,18.07583875583605,low,216.37982185164668
56.17203109707419,27.2905411930476,high,219.04125153562188
